id_licitacao_pncp;id_ata_pncp;numero_ata;numero_item;material_cod;material_nome;fornecedor_cnpj;fornecedor_nome;valor_unitario;qtd_homologada;valor_total_item
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00376;446618;OVO, ORIGEM GALINHA, GRUPO BRANCO, CLASSE A, TIPO GRANDE;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;16.95;549.0;9305.55
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00377;460402;PÃO, BASE DE FARINHA DE TRIGO REFINADA, TIPO DE FORMA, TIPO ADICIONAL DE LEITE , APRESENTAÇÃO FATIADO, TIPO EMBALAGEM EMBALAGEM INDIVIDUAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;0.86;1655.0;1423.3
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00379;460408;PÃO, BASE DE FARINHA DE MILHO E DE TRIGO REFINADA, TIPO DE FORMA, APRESENTAÇÃO FATIADO, TIPO EMBALAGEM EMBALAGEM INDIVIDUAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;8.45;160.0;1352.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00380;447581;CARNE DE AVE IN NATURA, TIPO ANIMAL FRANGO, TIPO CORTE FILÉ DE PEITO, APRESENTAÇÃO FATIADO, ESTADO DE CONSERVAÇÃO CONGELADO(A), PROCESSAMENTO SEM PELE, SEM OSSO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;16.05;1869.0;29997.45
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00381;463796;LEGUME IN NATURA, TIPO PEPINO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;6.78;200.0;1356.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00382;448953;PEIXE IN NATURA, VARIEDADE TILÁPIA, TIPO CORTE FILÉ, APRESENTAÇÃO SEM PELE, ESTADO DE CONSERVAÇÃO CONGELADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;35.0;692.0;24220.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00384;447774;FRIOS, VARIEDADE PRESUNTO DE PERNIL, TIPO PREPARAÇÃO COZIDO, COMPOSIÇÃO SEM CAPA DE GORDURA, APRESENTAÇÃO FATIADO, ESTADO DE CONSERVAÇÃO RESFRIADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;17.5;20.0;350.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00385;446633;QUEIJO, ORIGEM DE VACA, VARIEDADE MUÇARELA, APRESENTAÇÃO PEÇA;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;33.95;202.0;6857.9
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00387;463829;VERDURA IN NATURA, TIPO REPOLHO ROXO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;4.5;300.0;1350.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00388;463839;VERDURA IN NATURA, TIPO REPOLHO BRANCO/ VERDE;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;3.15;400.0;1260.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00390;456476;SACO, MATERIAL POLIETILENO TRANSPARENTE, CAPACIDADE 120 ML, APLICAÇÃO COLETA DE AMOSTRAS DE ÁGUA, CARACTERÍSTICAS ADICIONAIS 1 ESTERILIZADO, COM TARJA DE IDENTIFICAÇÃO;05291541000130;TY BORTHOLIN COMERCIAL LTDA;125.14;2.0;250.28
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00391;461092;SAL, TIPO REFINADO, APLICAÇÃO ALIMENTÍCIA, TEOR MÁXIMO SÓDIO 390 MG/G, ADITIVOS IODATO DE POTASSIO E ANTIUMECTANTE FERROCIANETO D E;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;2.15;346.0;743.9
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00393;279606;SUCO, APRESENTAÇÃO LÍQUIDO, SABOR LIMÃO, TIPO NATURAL, CARACTERÍSTICAS ADICIONAIS CONCENTRADO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.34;150.0;801.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00394;464754;SUCO, APRESENTAÇÃO LÍQUIDO, SABOR MANGA, TIPO NATURAL, CARACTERÍSTICAS ADICIONAIS CONCENTRADO, RENDIMENTO MÍNIMO, 1 PARTE DE SUCO-;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.29;150.0;793.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00395;486402;SUCO, APRESENTAÇÃO CONCENTRADO, SABOR CAJÚ, TIPO INDUSTRIALIZADO, CARACTERÍSTICAS ADICIONAIS SEM AÇUCAR E SEM GLÚTEN;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.23;150.0;784.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00396;464759;SUCO, APRESENTAÇÃO LÍQUIDO, SABOR GOIABA, TIPO NATURAL, CARACTERÍSTICAS ADICIONAIS CONCENTRADO, RENDIMENTO MÍNIMO, 1 PARTE DE SUCO-;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.29;150.0;793.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00397;464751;SUCO, APRESENTAÇÃO LÍQUIDO, SABOR MARACUJÁ, TIPO NATURAL, CARACTERÍSTICAS ADICIONAIS CONCENTRADO, RENDIMENTO MÍNIMO, 1 PARTE DE SUCO-;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.29;150.0;793.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00398;486400;SUCO, APRESENTAÇÃO CONCENTRADO, SABOR UVA, TIPO INDUSTRIALIZADO, CARACTERÍSTICAS ADICIONAIS SEM AÇUCAR E SEM GLÚTEN;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.25;150.0;787.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00409;463938;CONDIMENTO, TIPO ALHO, APRESENTAÇÃO NATURAL, ADICIONAL CABEÇA;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;23.0;336.0;7728.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00418;447383;CARNE BOVINA IN NATURA, TIPO CORTE ACÉM, APRESENTAÇÃO PEÇA INTEIRA, PROCESSAMENTO SEM OSSO, ESTADO DE CONSERVAÇÃO CONGELADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;19.9;1680.0;33432.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00426;447636;CARNE DE AVE IN NATURA, TIPO ANIMAL FRANGO, TIPO CORTE COXA E SOBRECOXA, APRESENTAÇÃO INTEIRO, ESTADO DE CONSERVAÇÃO CONGELADO(A), PROCESSAMENTO COM PELE, COM OSSO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;8.2;1008.0;8265.6
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00431;465332;FARINHA DE TRIGO, GRUPO INDUSTRIAL, TIPO TIPO 1, ESPECIAL, INGREDIENTE ADICIONAL SEM FERMENTO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3.9;630.0;2457.0
